# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	17438
#@/user_id	965b802b-6d45-476d-ab25-d046d79127f1
a 	啊	c=1 d=1 t=17434
ping bi 	屏蔽	c=1 d=1 t=14701
ping ce 	評測	c=1 d=1 t=851
ping fang 	平方	c=2 d=1 t=13657
ping gu 	評估	c=7 d=1.00026 t=8136
ping gu jie duan 	評估階段	c=1 d=1 t=4137
ping heng 	平衡	c=2 d=1 t=7348
ping hua 	平滑	c=4 d=1.99005 t=13905
ping jia 	評價	c=4 d=1 t=14919
ping jing 	平靜	c=1 d=1 t=6852
ping jun 	平均	c=4 d=1 t=12844
ping lun 	評論	c=2 d=1.00093 t=15233
ping mian 	平面	c=6 d=1.079 t=4616
ping pan 	評判	c=1 d=1 t=429
ping ta lia 	平他倆	c=1 d=1 t=1009
ping tai 	平臺	c=1 d=1 t=1010
ping tang 	平躺	c=1 d=1 t=13882
po 	泊	c=1 d=1 t=17087
po 	頗	c=0 d=0.1 t=14557
po ge 	破格	c=1 d=1 t=17230
po huai 	破壞	c=1 d=1 t=17128
po qie 	迫切	c=1 d=1 t=15922
po sui 	破碎	c=2 d=1.99005 t=14178
po yi wei yi 	頗以爲意	c=1 d=1 t=14558
pou xi 	剖析	c=1 d=1 t=585
pu tong 	普通	c=9 d=1.00002 t=13392
qi 	其	c=2 d=1 t=13992
qi 	器	c=9 d=1.05394 t=16438
qi 	氣	c=1 d=1 t=14538
qi 	祺	c=1 d=1 t=2150
qi 	鬐	c=1 d=1 t=2116
qi chu 	起初	c=1 d=1 t=16470
qi dai 	期待	c=1 d=1 t=14876
qi dao 	起到	c=1 d=1 t=14875
qi dong 	啓動	c=1 d=1 t=16845
qi dong pan 	啓動盤	c=1 d=1 t=16784
qi fa 	啓發	c=3 d=1 t=12875
qi fa shi 	啓發式	c=1 d=1 t=7289
qi fa yu 	啓發與	c=1 d=1 t=7014
qi fen 	氣氛	c=1 d=1 t=15709
qi feng 	起風	c=1 d=1 t=14306
qi jian 	期間	c=1 d=1 t=16765
qi kan 	期刊	c=3 d=2.0012 t=15238
qi lai 	起來	c=8 d=1.00034 t=16517
qi lai le 	起來了	c=1 d=1 t=56
qi shi 	其實	c=13 d=1.93152 t=14804
qi shi 	啓示	c=1 d=1 t=10308
qi ta 	其他	c=15 d=1.00317 t=16564
qi wang 	期望	c=2 d=1 t=10270
qi xiang 	氣象	c=1 d=1 t=64
qi xin 	起心	c=3 d=1.94649 t=5956
qi ye 	企業	c=1 d=1 t=17011
qi ye ji 	企業級	c=1 d=1 t=13834
qi zhong 	其中	c=4 d=1 t=16559
qia dang 	恰當	c=3 d=1.00124 t=12594
qia qia 	恰恰	c=1 d=1 t=10293
qian 	前	c=7 d=1.00118 t=13111
qian 	欠	c=0 d=0.1 t=14290
qian 	潛	c=4 d=3.61499 t=1729
qian 	茜	c=1 d=1 t=6571
qian biao shi 	潛表示	c=1 d=1 t=1633
qian bu fen 	前部分	c=1 d=1 t=5041
qian ceng 	潛層	c=3 d=1.00022 t=9057
qian duan 	前端	c=3 d=2.86975 t=16907
qian hou 	前後	c=0 d=0.1 t=16884
qian hou duan 	前後端	c=1 d=1 t=16885
qian hua 	鉛華	c=1 d=1 t=6237
qian ji 	前記	c=1 d=1 t=13457
qian kong jian 	潛空間	c=1 d=1 t=1691
qian mian 	前面	c=1 d=1 t=10044
qian ming 	簽名	c=2 d=1.956 t=1477
qian ni he 	欠擬合	c=1 d=1 t=14291
qian ren 	前人	c=1 d=1 t=13567
qian ru 	嵌入	c=3 d=2.81897 t=1903
qian shi 	前十	c=0 d=0.1 t=5184
qian shi zhang 	前十章	c=1 d=1 t=5185
qian tai 	前臺	c=1 d=1 t=13854
qian tao 	嵌套	c=1 d=1 t=7774
qian tao 	潛逃	c=1 d=1 t=7772
qian xiang 	前向	c=1 d=1 t=7980
qian xiang 	錢箱	c=1 d=1 t=7979
qian yan 	前沿	c=1 d=1 t=14268
qian yi 	遷移	c=7 d=1 t=11148
qian zhe 	前者	c=1 d=1 t=3487
qian zhi 	前肢	c=1 d=1 t=2076
qiang 	強	c=1 d=1 t=14481
qiang da 	強大	c=1 d=1 t=13827
qiang dao 	強盜	c=1 d=1 t=5193
qiang diao 	強調	c=2 d=1 t=15182
qiang du 	強度	c=2 d=1.98511 t=16436
qiang hua 	強化	c=2 d=1.91851 t=6255
qiang ji 	槍機	c=2 d=1 t=10289
qiang jia 	強加	c=1 d=1 t=10290
qiang lei xing 	強類型	c=2 d=1.92312 t=5690
qiang mian 	牆面	c=1 d=1 t=3854
qiang zhi 	強制	c=1 d=1 t=16427
qiao 	喬	c=3 d=1.06972 t=16232
qiao lao shi 	喬老師	c=2 d=1.37158 t=16319
qie 	且	c=2 d=1 t=12607
qie ge 	切割	c=1 d=1 t=1176
qie huan 	切換	c=5 d=1 t=16600
qie shi 	切實	c=1 d=1 t=17234
qie yao 	切要	c=1 d=1 t=728
qin chu 	禽畜	c=1 d=1 t=14048
qin xiu 	勤修	c=1 d=1 t=5980
qing 	情	c=0 d=0.1 t=14172
qing 	請	c=2 d=1 t=15736
qing 	輕	c=1 d=1.00049 t=17162
qing chen 	清晨	c=1 d=1 t=151
qing chu 	清楚	c=3 d=1.10593 t=9282
qing feng 	清風	c=1 d=1 t=14755
qing huan 	慶環	c=4 d=1.00009 t=16064
qing huan 	清歡	c=1 d=1 t=15547
qing jie 	情節	c=3 d=1.55156 t=17259
qing kuang 	情況	c=7 d=1.00338 t=17119
qing liang 	輕量	c=1 d=1 t=13668
qing liang hua 	輕量化	c=1 d=1 t=16101
qing ling 	清零	c=1 d=1 t=13667
qing qiu 	請求	c=2 d=1 t=16456
qing shuang 	清爽	c=1 d=1 t=14402
qing song 	輕鬆	c=2 d=1.00038 t=15714
qing xi 	清晰	c=1 d=1 t=414
qing xiang 	傾向	c=2 d=1.91393 t=422
qing xing 	情形	c=4 d=1 t=13218
qing xing 	清醒	c=1 d=1 t=157
qing xu 	情緒	c=2 d=1.90937 t=3601
qiu 	求	c=4 d=1.04434 t=8349
qiu 	球	c=2 d=1.96561 t=487
qiu dong 	秋冬	c=1 d=1 t=14685
qiu ji 	球機	c=2 d=1 t=15334
qiu jie 	求解	c=9 d=1.31839 t=8372
qiu tai 	球檯	c=1 d=1 t=13852
qiu xue 	求學	c=1 d=1 t=15398
qu 	區	c=2 d=1 t=11289
qu 	去	c=2 d=1 t=13172
qu bie 	區別	c=1 d=1 t=5450
qu chong 	去重	c=1 d=1 t=2285
qu chu 	去除	c=2 d=1 t=12499
qu dong 	驅動	c=5 d=1 t=14989
qu fen 	區分	c=0 d=0.1 t=1102
qu fen xing 	區分性	c=1 d=1 t=1103
qu jian 	區間	c=1 d=1 t=5353
qu jue yu 	取決於	c=1 d=1 t=7697
qu lv 	曲率	c=2 d=1.97531 t=2090
qu nian 	去年	c=3 d=2.53449 t=266
qu shi 	趨勢	c=1 d=1 t=1818
qu tong 	趨同	c=1 d=1 t=13617
qu xian 	曲線	c=3 d=1 t=6496
qu xiao 	取消	c=3 d=1 t=8713
qu yu 	區域	c=19 d=1 t=14108
qu yu 	去魚	c=1 d=1 t=15092
qu zao 	去譟	c=1 d=1 t=8808
quan 	全	c=2 d=1 t=13781
quan bu 	全部	c=3 d=1 t=6168
quan cheng 	全程	c=1 d=1 t=14470
quan cheng 	全稱	c=1 d=1 t=14494
quan duan 	全端	c=2 d=1.94649 t=16906
quan heng 	權衡	c=3 d=1.55617 t=8241
quan hua 	泉華	c=1 d=1 t=6254
quan jiao 	全角	c=3 d=1 t=13873
quan ju 	全局	c=2 d=0.119841 t=5489
quan ju xing 	全局性	c=1 d=1 t=12482
quan ju zhi 	全局值	c=1 d=1 t=5490
quan mian 	全面	c=3 d=1.37531 t=9391
quan mo tai 	全模態	c=1 d=1 t=6204
quan nian 	全年	c=1 d=1 t=262
quan qiu 	全球	c=2 d=1.97531 t=2100
quan ren 	全人	c=1 d=1 t=6219
quan se 	全色	c=1 d=1 t=1011
quan xin ban 	全新版	c=1 d=1 t=3186
quan xin quan yi 	全心全意	c=1 d=1 t=13758
quan zhi 	全職	c=1 d=1 t=4362
quan zhong 	權重	c=14 d=1.62503 t=11134
que 	卻	c=3 d=1 t=13261
que dian 	缺點	c=1 d=1 t=17310
que ding 	確定	c=1 d=1 t=6518
que fa 	缺乏	c=3 d=1 t=15917
que ren 	確認	c=1 d=1 t=6221
que shi 	確實	c=6 d=1.00001 t=15703
que shi 	缺失	c=2 d=1 t=8384
que ye 	卻也	c=1 d=1 t=2551
que ye 	缺頁	c=2 d=1.36604 t=2753
qun 	羣	c=1 d=1 t=5820
qun hui 	羣暉	c=2 d=1.84789 t=17060
qun hui 	羣輝	c=1 d=1 t=17026
qun ru 	羣儒	c=1 d=1 t=10208
qun ti 	羣體	c=1 d=1 t=11885
qun zu 	羣組	c=1 d=1 t=11890
ran er 	然而	c=3 d=1 t=10924
ran hou 	然後	c=25 d=2.9418 t=16926
rang 	讓	c=4 d=1.92312 t=14754
rang he 	蘘荷	c=1 d=1 t=3966
rang hou 	讓後	c=2 d=1 t=15187
rang ren 	讓人	c=2 d=1.99501 t=15796
rang wo 	讓我	c=1 d=1 t=15589
re 	熱	c=1 d=0.1 t=15720
ren 	人	c=22 d=1.68416 t=15699
ren cai 	人才	c=1 d=1 t=16866
ren chai 	人拆	c=1 d=1 t=1299
ren gong 	人工	c=5 d=1.37719 t=17056
ren he 	任何	c=3 d=1 t=15978
ren jian 	人間	c=3 d=2.88362 t=15544
ren le 	人了	c=1 d=1 t=351
ren lei 	人類	c=2 d=1 t=14788
ren li 	人力	c=1 d=1 t=1300
ren lian 	人臉	c=1 d=1 t=6415
ren men 	人們	c=3 d=1.6418 t=16621
ren min 	人民	c=1 d=1 t=17115
ren qun 	人羣	c=3 d=2.28064 t=990
ren qun ji shu 	人羣計數	c=1 d=1 t=793
ren ren 	人人	c=2 d=1.94176 t=6521
ren shao 	人少	c=1 d=1 t=14547
ren sheng 	人生	c=3 d=1.78663 t=5829
ren shi 	認識	c=4 d=1 t=14631
ren shi dao 	認識到	c=1 d=1 t=10559
ren shu 	人數	c=2 d=1.00715 t=11959
ren ti 	人體	c=3 d=1 t=6501
ren tou 	人頭	c=1 d=1 t=814
ren wei 	認爲	c=2 d=1 t=10352
ren wu 	人物	c=3 d=1 t=11998
ren wu 	任務	c=34 d=2.02885 t=13632
ren xin 	人心	c=3 d=1.94649 t=13437
ren xing 	人性	c=2 d=1.94649 t=13438
ren yi 	任意	c=7 d=1 t=11738
ren yi di fang 	任意地方	c=1 d=1 t=8971
ren yuan 	人員	c=3 d=2.55558 t=17214
ren zhen 	認真	c=2 d=1.54335 t=9838
ri 	日	c=1 d=0.1 t=14616
ri chang 	日常	c=1 d=1 t=2246
ri jian 	日間	c=1 d=1 t=6543
ri li 	日曆	c=1 d=1 t=6568
ri ri 	日日	c=0 d=0.1 t=64
ri ri xin 	日日新	c=1 d=1 t=65
ri zhi 	日誌	c=1 d=1 t=5129
rong he 	融合	c=27 d=1.00006 t=16868
rong liang 	容量	c=6 d=1 t=16992
rong liao 	榮聊	c=1 d=1 t=11118
rong qi 	容器	c=1 d=1 t=16013
rong ru 	融入	c=2 d=1.18919 t=4045
rong yi 	容易	c=4 d=1.00088 t=13591
rong yu 	冗餘	c=1 d=1 t=1126
rong yu 	榮譽	c=1 d=1 t=1125
ru 	入	c=0 d=0.1 t=16995
ru ci 	如此	c=1 d=1 t=13164
ru guo 	如果	c=22 d=1.00516 t=15974
ru he 	如何	c=14 d=1.00069 t=16607
ru kou 	入口	c=1 d=1 t=14493
ru lun 	如論	c=1 d=1 t=10604
ru ru 	䰰䰰	c=2 d=1.00492 t=8939
ru she 	入射	c=1 d=1 t=7528
ru shen 	入神	c=1 d=1 t=5342
ru shi 	入市	c=1 d=1 t=17269
ru shi 	如實	c=1 d=1 t=17270
ru shu 	如數	c=1 d=1 t=1884
ru xia 	如下	c=2 d=1 t=12233
ru xue 	入學	c=0 d=0.1 t=14616
ru xue ri 	入學日	c=1 d=1 t=14617
ru yao 	如要	c=1 d=1 t=5105
ru zhan 	如棧	c=1 d=1 t=16451
ruan jian 	軟件	c=3 d=1 t=16858
ruan pan 	軟盤	c=1 d=1 t=2435
ruo 	弱	c=1 d=1 t=13795
ruo jian du 	弱監督	c=3 d=2.84033 t=1094
ruo lei xing 	弱類型	c=1 d=1 t=5699
ruo mu biao 	弱目標	c=1 d=1 t=1145
ruo xiao 	弱小	c=1 d=1 t=1156
sai 	賽	c=2 d=0.1 t=7317
san bu fen 	三部分	c=1 d=1 t=1313
san dian 	散點	c=1 d=1 t=10038
san fang 	三方	c=0 d=0.1 t=16740
san fang ku 	三方厙	c=1 d=1 t=16741
san feng 	三豐	c=1 d=1 t=2173
san ge 	三個	c=7 d=1.57785 t=12507
san ji 	三季	c=1 d=1 t=647
san ji 	三集	c=1 d=1 t=646
san jia 	三甲	c=1 d=1 t=14104
san jiao 	三角	c=1 d=1 t=4151
san ming 	三名	c=0 d=0.1 t=11467
san nian ji 	三年級	c=1 d=1 t=332
san qian 	三千	c=1 d=1 t=16050
san wei 	三維	c=2 d=1.31506 t=3208
san wen 	散文	c=1 d=1 t=13201
san xing 	三星	c=1 d=1 t=622
san xing wu shen 	三省吾身	c=1 d=1 t=625
san yuan 	三元	c=1 d=1 t=463
san zhong 	三中	c=1 d=1 t=6657
san zhong 	三種	c=1 d=1 t=13000
sang 	桑	c=0 d=0.1 t=15208
sang e pian 	桑萼片	c=1 d=1 t=15209
sao mian 	掃麪	c=2 d=1 t=11806
sha 	啥	c=1 d=1 t=1237
sha shou 	殺手	c=1 d=1 t=13824
sha si 	殺死	c=2 d=1 t=13713
shan chu 	刪除	c=8 d=1.07217 t=16336
shan chu xian 	刪除線	c=1 d=1 t=14057
shan dian 	閃電	c=2 d=1.99501 t=16857
shan guang 	閃光	c=1 d=1 t=10451
shan hai 	山海	c=0 d=0.1 t=14172
shan hai qing 	山海情	c=1 d=1 t=14173
shan jing 	山徑	c=1 d=1 t=8093
shan ru 	擅入	c=1 d=1 t=4960
shan sheng 	刪省	c=1 d=1 t=3949
shan wu 	山舞	c=1 d=1 t=656
shan xi 	山西	c=1 d=1 t=295
shan xin 	善心	c=1 d=1 t=10585
shan zhong 	山中	c=1 d=1 t=16128
shang 	上	c=54 d=1.12956 t=15813
shang 	熵	c=2 d=1.6936 t=15147
shang chu 	傷處	c=1 d=1 t=14928
shang chuan 	上傳	c=1 d=1 t=16116
shang ci 	上次	c=1 d=1 t=16118
shang de 	上得	c=1 d=1 t=15637
shang du 	上都	c=1 d=1 t=1997
shang feng 	上風	c=1 d=1 t=14439
shang gan 	傷感	c=1 d=1 t=14829
shang jing 	上鏡	c=3 d=1.70693 t=4006
shang jing 	尚菁	c=1 d=1 t=10475
shang mian 	上面	c=1 d=1 t=8789
shang mo xing 	熵模型	c=1 d=1 t=15043
shang nian 	上年	c=0 d=0.1 t=10086
shang shi 	上市	c=2 d=1 t=17075
shang shi 	上式	c=1 d=1 t=7891
shang shui 	上水	c=1 d=1 t=14440
shang tian 	上天	c=1 d=1 t=15636
shang xia wen 	上下文	c=4 d=1.956 t=15059
shang you 	上有	c=1 d=1 t=12630
shang you 	上游	c=1 d=1 t=12632
shang zhou 	上週	c=1 d=1 t=12792
shao 	少	c=5 d=1.9771 t=15823
shao jian 	少見	c=1 d=1 t=15741
shao le 	少了	c=0 d=0.1 t=7411
shao liang 	少量	c=1 d=1 t=3315
shao wei 	稍微	c=2 d=1 t=12152
she bei 	設備	c=6 d=1.00003 t=17080
she ding 	設定	c=1 d=1 t=106
she hui 	社會	c=3 d=1 t=14614
she ji 	設計	c=16 d=1.27376 t=14206
she qu 	社區	c=1 d=1 t=13829
she she 	射射	c=0 d=0.1 t=9946
she she zhi 	射射值	c=1 d=1 t=9947
she wei 	設爲	c=2 d=1 t=12788
she xian 	射線	c=1 d=1 t=4995
she xian 	設限	c=1 d=1 t=4997
she xiang ji 	攝像機	c=2 d=1.00385 t=16463
she xiang tou 	攝像頭	c=1 d=1 t=17022
she zhan 	舌戰	c=1 d=1 t=10206
she zhi 	設置	c=8 d=1.24094 t=16787
shei 	誰	c=1 d=1 t=13602
shen 	神	c=0 d=0.1 t=3331
shen bian 	申辯	c=1 d=1 t=17121
shen bian 	身邊	c=1 d=1 t=10550
shen ceng 	深層	c=2 d=1.98511 t=9062
shen dong 	深冬	c=1 d=1 t=721
shen du 	深度	c=64 d=2.66567 t=16989
shen du he 	深度和	c=1 d=1 t=5799
shen du tu 	深度圖	c=4 d=1 t=13904
shen du zhi 	深度值	c=1 d=1 t=4417
shen fen zheng 	身份證	c=1 d=1 t=17387
shen fu 	神父	c=1 d=1 t=1322
shen gao 	審稿	c=2 d=1.63763 t=15250
shen he 	審覈	c=1 d=1 t=17232
shen hui 	深灰	c=1 d=1 t=10524
shen ji 	審計	c=1 d=1 t=2398
shen jing 	神經	c=19 d=1 t=10836
shen jing shang 	神經商	c=1 d=1 t=3332
shen ke 	深刻	c=2 d=1 t=13149
shen me 	什麼	c=12 d=1.00933 t=15807
shen me yang 	什麼樣	c=1 d=1 t=703
shen qing 	申請	c=4 d=1 t=14231
shen ru 	深入	c=4 d=1.80252 t=8640
shen shang 	身上	c=2 d=1.0542 t=15700
shen shen xue zi 	莘莘學子	c=1 d=1 t=552
shen ti 	身體	c=4 d=1 t=15262
shen ye 	深夜	c=1 d=1 t=159
shen yuan 	深遠	c=1 d=1 t=5811
shen zhi 	甚至	c=1 d=1 t=13596
sheng 	生	c=3 d=1.05079 t=14509
sheng 	聲	c=1 d=1 t=16086
sheng chan 	生產	c=2 d=1.00042 t=17024
sheng cheng 	生成	c=28 d=2.54528 t=16032
sheng cheng er 	生成二	c=1 d=1 t=4702
sheng cheng qi 	生成器	c=1 d=1 t=964
sheng du 	繩度	c=1 d=1 t=3763
sheng guo 	勝過	c=1 d=1 t=15600
sheng huo 	生活	c=11 d=2.76928 t=15790
sheng huo zhong 	生活中	c=1 d=1 t=14633
sheng huo zhuo 	生活卓	c=1 d=1 t=5856
sheng ji 	升級	c=1 d=1 t=14304
sheng me 	生麼	c=1 d=1 t=14649
sheng ming 	生命	c=4 d=1 t=12415
sheng ming 	聲明	c=1 d=1 t=12416
sheng ming li 	生命力	c=1 d=1 t=3592
sheng ming shi 	聲明式	c=2 d=1.9802 t=5577
sheng qian 	生前	c=0 d=0.1 t=734
sheng qian si hou 	生前死後	c=1 d=1 t=735
sheng ri 	生日	c=1 d=1 t=1217
sheng wu 	生物	c=2 d=1 t=8423
sheng xiang 	生想	c=1 d=1 t=10265
sheng yin 	聲音	c=2 d=1.19301 t=14705
sheng ying 	生硬	c=1 d=1 t=14704
shi 	使	c=1 d=1 t=16100
shi 	勢	c=1 d=1 t=725
shi 	市	c=1 d=1 t=2320
shi 	式	c=4 d=1.00009 t=7746
shi 	是	c=219 d=1.43097 t=17169
shi 	時	c=6 d=1.00011 t=16630
shi 	石	c=1 d=1 t=15940
shi a 	是啊	c=1 d=1 t=2250
shi bai 	失敗	c=3 d=1.00001 t=16846
shi ban 	石板	c=0 d=0.1 t=15757
shi ban lu 	石板路	c=1 d=1 t=15748
shi ban shang 	是班上	c=1 d=1 t=15757
shi ban shang 	石板上	c=2 d=1.97045 t=15764
shi bie 	識別	c=7 d=1 t=17048
shi chang 	時長	c=2 d=1.98511 t=16093
shi chu shang 	是初上	c=1 d=1 t=6892
shi cong 	是從	c=2 d=1 t=9259
shi dai 	時代	c=3 d=2.1038 t=13578
shi de 	使得	c=9 d=1.51175 t=11008
shi dian 	視點	c=5 d=1 t=7666
shi dian 	試點	c=1 d=1 t=4516
shi duan zan 	是短暫	c=1 d=1 t=15827
shi fan 	是反	c=1 d=1 t=501
shi fang 	釋放	c=10 d=1.956 t=11292
shi fen 	十分	c=1 d=1 t=14858
shi fen 	時分	c=1 d=1 t=14860
shi fou 	是否	c=17 d=1 t=16280
shi fu 	師傅	c=1 d=1 t=15755
shi gan 	實幹	c=1 d=1 t=13740
shi ge 	是個	c=3 d=1.00307 t=14536
shi guang 	時光	c=2 d=1 t=15086
shi guo 	試過	c=1 d=1 t=2215
shi he 	適合	c=3 d=1.03491 t=7312
shi hong 	是宏	c=1 d=1 t=9446
shi hou 	時候	c=14 d=1.01712 t=15808
shi hua 	實話	c=0 d=0.1 t=4130
shi ji 	實際	c=7 d=1.82817 t=14019
shi ji shang 	實際上	c=1 d=1 t=7832
shi jia zhuang 	石家莊	c=3 d=1 t=12980
shi jian 	實踐	c=1 d=1 t=13909
shi jian 	時間	c=24 d=1.02215 t=16729
shi jian dian 	時間點	c=1 d=1 t=4211
shi jian li 	時間裏	c=1 d=1 t=14573
shi jian zhong 	事件中	c=1 d=1 t=264
shi jiao 	視角	c=18 d=1.06426 t=8212
shi jie 	世界	c=8 d=1.00472 t=15798
shi jue 	視覺	c=9 d=2.87423 t=17055
shi ke 	時刻	c=0 d=0.1 t=11857
shi kong 	時空	c=3 d=1 t=8269
shi kuang 	實況	c=2 d=1 t=6472
shi li 	實例	c=8 d=1.00001 t=16374
shi li 	實力	c=1 d=1 t=1179
shi li 	示例	c=1 d=1 t=14197
shi li hua 	實例化	c=3 d=1.49109 t=8005
shi ming 	使命	c=1 d=1 t=17308
shi neng 	使能	c=1 d=1 t=2030
shi nian 	十年	c=1 d=1 t=15406
shi pei 	適配	c=2 d=1.89583 t=933
shi pian 	十篇	c=1 d=1 t=13202
shi pian 	詩篇	c=1 d=1 t=13200
shi pin 	視頻	c=14 d=2.87737 t=16091
shi qing 	事情	c=12 d=1.24913 t=16889
shi san 	十三	c=2 d=1 t=17000
shi shen me 	是什麼	c=3 d=1.01259 t=10084
shi shi 	事事	c=1 d=1 t=5901
shi shi 	實施	c=2 d=1.97045 t=1350
shi shi 	實時	c=2 d=1 t=7099
shi shi 	試試	c=1 d=1 t=12862
shi shi hua 	是實話	c=2 d=1 t=9020
shi shi shang 	事實上	c=1 d=1 t=2544
shi shuo 	是說	c=1 d=1 t=11374
shi tai 	時態	c=2 d=1.9802 t=14488
shi ti 	實體	c=1 d=1 t=5650
shi ti 	屍體	c=1 d=1 t=5646
shi tong guo 	是通過	c=1 d=1 t=5365
shi tou 	石頭	c=2 d=1.98511 t=595
shi wang 	失望	c=1 d=1 t=14873
shi wu 	事物	c=2 d=1.38481 t=6097
shi xian 	實現	c=38 d=1.51537 t=16892
shi xian le 	實現了	c=3 d=1 t=12960
shi xiang 	事項	c=1 d=1 t=1342
shi xiao 	時效	c=1 d=1 t=1143
shi xiao xing 	時效性	c=1 d=1 t=1136
shi xing 	實行	c=1 d=1 t=12357
shi xu 	時序	c=1 d=1 t=6394
shi xu yao 	是需要	c=1 d=1 t=10318
shi yai sai 	是崖賽	c=1 d=1 t=7904
shi yan 	實驗	c=16 d=2.05551 t=16365
shi yan she zhi 	實驗設置	c=1 d=1 t=9961
shi yan shi 	實驗室	c=2 d=1 t=14546
shi yao 	是要	c=1 d=1 t=1249
shi yi ben 	是一本	c=1 d=1 t=5026
shi yi ge 	十一個	c=1 d=1 t=7656
shi yi ge 	是一個	c=2 d=1.00497 t=8718
shi yi tu 	示意圖	c=2 d=1 t=14472
shi yi xie 	是一些	c=1 d=1 t=5098
shi yi zhong 	是一種	c=1 d=1 t=11403
shi yin 	石印	c=1 d=1 t=13494
shi ying 	適應	c=4 d=1.99501 t=16355
shi ying du 	適應度	c=1 d=1 t=9751
shi ying lv 	市盈率	c=1 d=1 t=14219
shi yong 	使用	c=197 d=2.79157 t=16688
shi yong lv 	使用率	c=1 d=1 t=7902
shi you 	石油	c=1 d=1 t=11041
shi zhi 	使之	c=0 d=0.1 t=11588
shi zhi 	施治	c=1 d=1 t=1267
shi zhi yi zhi 	使之一致	c=1 d=1 t=11589
shi zhong 	始終	c=1 d=1 t=10637
shi zhong 	是種	c=1 d=1 t=421
shi zi 	師資	c=1 d=1 t=14264
shou 	手	c=3 d=1.14227 t=16824
shou dao 	受到	c=1 d=1 t=17318
shou gong 	手工	c=4 d=1 t=13552
shou huo 	收穫	c=3 d=1.04596 t=13745
shou li 	手裏	c=1 d=1 t=598
shou nan 	受難	c=1 d=1 t=1234
shou shang 	受傷	c=1 d=1 t=14751
shou suan 	手算	c=1 d=1 t=13655
shou suo 	收縮	c=1 d=1 t=14416
shou xian 	首先	c=11 d=1.65051 t=15998
shou xie 	手寫	c=1 d=1 t=5018
shu 	叔	c=1 d=1 t=5031
shu 	數	c=5 d=1.11648 t=9910
shu 	書	c=11 d=0.220484 t=16384
shu 	樹	c=1 d=1 t=14681
shu bai 	數百	c=1 d=0.251072 t=7245
shu bai ci 	數百詞	c=1 d=1 t=7246
shu chu 	輸出	c=12 d=1.00004 t=15006
shu fa 	書法	c=1 d=1 t=15626
shu ji 	書籍	c=2 d=1.8825 t=13108
shu ji 	書記	c=3 d=1 t=17357
shu jia 	暑假	c=2 d=1.94176 t=213
shu ju 	數據	c=91 d=2.85844 t=17051
shu ju ji 	數據集	c=11 d=1 t=16957
shu ju ji suan 	數據計算	c=1 d=1 t=6680
shu ju jie gou 	數據結構	c=1 d=1 t=2644
shu ju ku 	數據庫	c=5 d=2.81775 t=5165
shu ju kuai 	數據塊	c=1 d=1 t=2951
shu ju lei xing 	數據類型	c=1 d=1 t=5292
shu ju liu 	數據流	c=1 d=1 t=13635
shu ju ti 	數據體	c=1 d=1 t=8613
shu ju zhong 	數據中	c=1 d=1 t=4679
shu ku 	書庫	c=0 d=0.1 t=5163
shu ku ju 	書庫局	c=1 d=1 t=5164
shu li 	樹立	c=1 d=1 t=17326
shu liang 	數量	c=4 d=1 t=16164
shu qi 	暑期	c=1 d=1 t=15751
shu qian 	書籤	c=1 d=1 t=12978
shu ru 	輸入	c=47 d=1 t=15326
shu ru ceng 	輸入層	c=1 d=1 t=1660
shu ru fa 	輸入法	c=1 d=1 t=2188
shu shan 	蜀山	c=0 d=0.1 t=13840
shu shan shi 	蜀山是	c=1 d=1 t=13841
shu shang 	輸上	c=1 d=1 t=1211
shu shi 	數十	c=0 d=0.1 t=7253
shu shi miao 	數十秒	c=1 d=1 t=7254
shu shu 	叔叔	c=1 d=1 t=982
shu ti 	書體	c=1 d=1 t=15496
shu xi 	熟悉	c=1 d=1 t=14822
shu xing 	屬性	c=16 d=9.01351 t=12461
shu xue 	數學	c=3 d=1.99501 t=14443
shu yu 	屬於	c=3 d=1 t=15199
shu ze 	述責	c=1 d=1 t=17354
shu zhi 	數值	c=3 d=1.04498 t=8099
shu zhi 	樹枝	c=1 d=1 t=13336
shu zhong 	書中	c=2 d=1.49164 t=13280
shu zu 	數組	c=2 d=1 t=11509
shuai jian 	衰減	c=1 d=1 t=4298
shuai si 	摔死	c=1 d=1 t=12362
shuang 	雙	c=2 d=1 t=12420
shuang mu 	雙目	c=2 d=1.83946 t=13968
shuang mu biao 	雙目標	c=1 d=1 t=9770
shuang ta 	雙塔	c=1 d=1 t=12981
shuang xiang 	雙向	c=3 d=1.00892 t=15311
shui 	水	c=4 d=3.62006 t=10166
shui ping 	水平	c=1 d=1 t=14224
shui ping kuang 	水平框	c=1 d=1 t=1060
shui ru 	水乳	c=1 d=1 t=10162
shui wa 	水窪	c=1 d=1 t=13338
shun xu 	順序	c=1 d=1 t=1524
shuo 	說	c=8 d=1.19693 t=16646
shuo chu 	說出	c=1 d=1 t=10196
shuo de 	說的	c=1 d=1 t=14542
shuo fa 	說法	c=1 d=1 t=13559
shuo guo 	說過	c=1 d=1 t=10148
shuo hua 	說話	c=2 d=1.00016 t=16297
shuo le 	說了	c=1 d=1 t=14789
shuo ming 	說明	c=8 d=1.90495 t=16298
